PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS
1630639,A.J. Lawson,1610612761,TOR,25.0,13,6,7,0.462,109.13166666666666,16,41,0.39,8,22,0.364,9,9,1.0,7,16,23,3,4,4,3,15,49,-31
1631260,AJ Green,1610612749,MIL,26.0,49,22,27,0.449,1480.285,172,391,0.44,151,350,0.431,27,34,0.794,12,116,128,99,41,27,5,115,522,14
1642358,AJ Johnson,1610612742,DAL,21.0,28,5,23,0.179,224.88333333333333,27,88,0.307,7,27,0.259,9,12,0.75,8,24,32,23,18,7,0,15,70,-12
203932,Aaron Gordon,1610612743,DEN,30.0,23,17,6,0.739,642.0016666666667,139,273,0.509,42,105,0.4,86,109,0.789,30,112,142,58,24,16,4,38,406,190
1628988,Aaron Holiday,1610612745,HOU,29.0,35,22,13,0.629,464.5,65,161,0.404,42,108,0.389,28,33,0.848,6,24,30,34,21,16,4,47,200,32
1630174,Aaron Nesmith,1610612754,IND,26.0,32,9,23,0.281,976.7333333333333,144,370,0.389,76,205,0.371,70,86,0.814,42,110,152,68,46,21,18,86,434,-106
1630598,Aaron Wiggins,1610612760,OKC,27.0,41,29,12,0.707,974.4066666666666,161,363,0.444,75,194,0.387,36,49,0.735,25,117,142,75,55,41,23,59,433,154
1642846,Ace Bailey,1610612762,UTA,19.0,49,16,33,0.327,1290.66,233,518,0.45,73,215,0.34,34,48,0.708,77,112,189,84,63,39,23,125,573,-287
1641737,Adem Bona,1610612755,PHI,22.0,45,26,19,0.578,735.23,69,119,0.58,2,5,0.4,48,71,0.676,81,95,176,10,34,17,57,97,188,-36
1642876,Adou Thiero,1610612747,LAL,21.0,17,9,8,0.529,98.25333333333333,9,20,0.45,0,1,0.0,7,9,0.778,7,11,18,5,4,5,2,15,25,1
1642349,Ajay Mitchell,1610612760,OKC,23.0,43,37,6,0.86,1128.595,222,456,0.487,48,137,0.35,114,131,0.87,29,120,149,157,68,61,14,93,606,401
201143,Al Horford,1610612744,GSW,39.0,34,19,15,0.559,701.86,96,224,0.429,49,145,0.338,17,19,0.895,33,134,167,79,33,26,36,42,258,-4
1627936,Alex Caruso,1610612760,OKC,31.0,37,29,8,0.784,679.0616666666666,85,196,0.434,39,120,0.325,25,32,0.781,19,79,98,75,29,50,13,44,234,269
1642259,Alex Sarr,1610612764,WAS,20.0,41,11,30,0.268,1156.2783333333334,285,575,0.496,40,119,0.336,94,136,0.691,96,223,319,115,70,34,82,85,704,-288
1642918,Alijah Martin,1610612761,TOR,24.0,13,6,7,0.462,96.84666666666666,11,32,0.344,2,12,0.167,10,12,0.833,6,8,14,8,3,6,3,10,34,-9
1630578,Alperen Sengun,1610612745,HOU,23.0,46,29,17,0.63,1558.9783333333332,370,744,0.497,26,87,0.299,186,269,0.691,146,285,431,289,145,62,47,151,952,164
1642873,Amari Williams,1610612738,BOS,24.0,14,9,5,0.643,111.87833333333333,7,16,0.438,0,0,0.0,8,12,0.667,7,22,29,6,6,2,9,15,22,-36
1641708,Amen Thompson,1610612745,HOU,23.0,52,32,20,0.615,1937.4766666666667,353,699,0.505,18,88,0.205,193,246,0.785,150,244,394,281,129,74,32,113,917,277
1629599,Amir Coffey,1610612756,PHX,28.0,32,13,19,0.406,298.3383333333333,31,66,0.47,9,31,0.29,16,19,0.842,8,25,33,14,5,4,3,19,87,-61
203083,Andre Drummond,1610612755,PHI,32.0,40,21,19,0.525,790.41,109,217,0.502,19,51,0.373,39,62,0.629,135,209,344,34,40,22,35,78,276,-69
1641748,Andre Jackson Jr.,1610612749,MIL,24.0,26,8,18,0.308,168.06833333333333,12,45,0.267,5,26,0.192,9,10,0.9,10,14,24,24,9,6,2,25,38,-15
1629614,Andrew Nembhard,1610612754,IND,26.0,43,11,32,0.256,1380.8833333333334,262,594,0.441,83,228,0.364,142,174,0.816,18,109,127,321,105,39,7,95,749,-291
203952,Andrew Wiggins,1610612748,MIA,30.0,50,25,25,0.5,1563.9783333333332,305,648,0.471,98,248,0.395,89,116,0.767,89,161,250,138,85,60,48,112,797,5
1629014,Anfernee Simons,1610612741,CHI,26.0,53,31,22,0.585,1327.9833333333333,276,624,0.442,142,367,0.387,67,75,0.893,31,101,132,133,65,27,8,90,761,116
1641710,Anthony Black,1610612753,ORL,22.0,53,28,25,0.528,1649.0133333333333,306,665,0.46,89,257,0.346,151,200,0.755,40,174,214,212,116,74,38,146,852,-20
203076,Anthony Davis,1610612764,WAS,32.0,20,10,10,0.5,625.63,169,334,0.506,10,37,0.27,59,81,0.728,62,159,221,56,41,22,33,42,407,-50
1630162,Anthony Edwards,1610612750,MIN,24.0,46,28,18,0.609,1632.0766666666666,463,940,0.493,155,386,0.402,267,336,0.795,31,209,240,171,124,62,38,84,1348,144
1630264,Anthony Gill,1610612764,WAS,33.0,28,3,25,0.107,225.41333333333333,26,48,0.542,4,13,0.308,10,12,0.833,17,30,47,9,10,11,6,23,66,8
1641810,Antonio Reeves,1610612766,CHA,25.0,7,2,5,0.286,55.64666666666667,8,16,0.5,5,10,0.5,0,0,0.0,1,4,5,2,0,1,0,3,21,25
1630574,Ariel Hukporti,1610612752,NYK,23.0,39,25,14,0.641,361.35,30,53,0.566,1,4,0.25,19,26,0.731,39,76,115,21,21,5,21,50,80,-7
1642854,Asa Newell,1610612737,ATL,20.0,39,19,20,0.487,442.025,79,147,0.537,27,68,0.397,14,25,0.56,37,44,81,20,21,15,13,61,199,-31
1641709,Ausar Thompson,1610612765,DET,23.0,49,36,13,0.735,1260.9966666666667,206,403,0.511,6,20,0.3,83,143,0.58,108,185,293,132,71,92,41,139,501,193
1630559,Austin Reaves,1610612747,LAL,27.0,28,19,9,0.679,938.7283333333334,220,433,0.508,70,193,0.363,202,233,0.867,19,122,141,168,94,27,6,62,712,63
1630245,Ayo Dosunmu,1610612750,MIN,26.0,48,23,25,0.479,1270.9266666666667,268,518,0.517,92,206,0.447,93,108,0.861,33,106,139,172,63,39,13,86,721,-111
1628389,Bam Adebayo,1610612748,MIA,28.0,48,23,25,0.479,1506.1166666666666,312,705,0.443,78,231,0.338,183,234,0.782,99,376,475,134,89,49,34,79,885,194
1631248,Baylor Scheierman,1610612738,BOS,25.0,49,33,16,0.673,705.36,66,147,0.449,43,109,0.394,12,14,0.857,23,114,137,50,21,28,4,67,187,127
1642879,Ben Saraf,1610612751,BKN,19.0,22,6,16,0.273,383.555,38,113,0.336,12,48,0.25,24,33,0.727,7,29,36,60,40,17,4,28,112,-60
1641767,Ben Sheppard,1610612754,IND,24.0,44,13,31,0.295,939.4016666666666,101,252,0.401,55,159,0.346,27,35,0.771,25,112,137,80,25,22,4,76,284,-205
1631097,Bennedict Mathurin,1610612746,LAC,23.0,30,8,22,0.267,947.8133333333334,162,381,0.425,59,161,0.366,139,157,0.885,25,136,161,70,65,23,5,81,522,-203
1641731,Bilal Coulibaly,1610612764,WAS,21.0,33,11,22,0.333,884.0233333333333,106,269,0.394,29,111,0.261,81,106,0.764,29,117,146,83,50,47,30,89,322,-215
202687,Bismack Biyombo,1610612759,SAS,33.0,14,11,3,0.786,78.43833333333333,4,7,0.571,0,0,0.0,1,2,0.5,4,8,12,3,5,3,1,14,9,-45
1642396,Blake Hinson,1610612762,UTA,26.0,1,0,1,0.0,24.75,4,7,0.571,3,6,0.5,0,0,0.0,0,1,1,1,1,0,0,5,11,0
1631104,Blake Wesley,1610612757,POR,22.0,13,8,5,0.615,200.77333333333334,29,67,0.433,7,22,0.318,8,16,0.5,6,19,25,39,16,13,1,17,73,-49
1626171,Bobby Portis,1610612749,MIL,31.0,51,21,30,0.412,1239.5416666666667,270,559,0.483,97,215,0.451,34,47,0.723,67,268,335,83,54,31,8,85,671,-177
1641752,Bobi Klintman,1610612765,DET,22.0,9,7,2,0.778,63.60166666666667,7,24,0.292,3,12,0.25,0,3,0.0,5,12,17,4,5,3,0,11,17,-16
203992,Bogdan Bogdanović,1610612746,LAC,33.0,17,5,12,0.294,372.07666666666665,45,121,0.372,24,74,0.324,16,19,0.842,5,42,47,44,22,8,1,40,130,-21
1630538,Bones Hyland,1610612750,MIN,25.0,47,29,18,0.617,695.69,124,266,0.466,63,164,0.384,32,45,0.711,15,64,79,123,41,26,10,82,343,114
203078,Bradley Beal,1610612746,LAC,32.0,6,2,4,0.333,120.91666666666667,18,48,0.375,7,19,0.368,6,8,0.75,2,3,5,10,9,3,0,14,49,-23
1642382,Branden Carlson,1610612760,OKC,26.0,34,27,7,0.794,372.71666666666664,68,130,0.523,21,59,0.356,9,17,0.529,21,67,88,19,12,6,18,30,166,15
1641764,Brandin Podziemski,1610612744,GSW,22.0,55,29,26,0.527,1478.1966666666667,234,522,0.448,91,246,0.37,102,133,0.767,41,211,252,194,82,62,10,100,661,60
